aisle_a,department_a,aisle_b,department_b,co_orders,share_of_orders,lift
milk,dairy eggs,tortillas flat bread,bakery,58502,1.81972917134544,1.323666367760535
packaged cheese,dairy eggs,nuts seeds dried fruit,snacks,78778,2.45042262931611,1.3236438419945429
soft drinks,beverages,canned meat seafood,canned goods,7016,0.21823561358858853,1.3236369258737866
prepared meals,deli,protein meal replacements,personal care,1180,0.036704393391467284,1.3235547645981591
hair care,personal care,canned meals beans,canned goods,2340,0.07278667842036733,1.3235249912417075
energy granola bars,snacks,tofu meat alternatives,deli,12142,0.3776819869145727,1.323313936825881
oral hygiene,personal care,bread,bakery,12083,0.3758467672449993,1.3232582318707775
packaged cheese,dairy eggs,fresh vegetables,produce,433598,13.487247089621555,1.3232391300925366
canned fruit applesauce,canned goods,meat counter,meat,2211,0.06877407948180862,1.3230212145156943
refrigerated,beverages,bread,bakery,93165,2.8979362799288557,1.3228985956033041
refrigerated,beverages,hot cereal pancake mixes,breakfast,25679,0.7987560321182104,1.3228819894887156
fresh fruits,produce,packaged vegetables fruits,produce,868883,27.026969019625653,1.3227625687918567
fruit vegetable snacks,snacks,canned meals beans,canned goods,13665,0.4250555387240682,1.3227167823465866
digestion,personal care,hot cereal pancake mixes,breakfast,1507,0.046875865119441695,1.3226333100183723
ice cream ice,frozen,skin care,personal care,1333,0.04146352236510669,1.322591606559608
juice nectars,beverages,other creams cheeses,dairy eggs,32955,1.025079054420173,1.3225362931343245
soy lactosefree,dairy eggs,baby food formula,babies,33303,1.035903739928843,1.3221582426734713
packaged meat,meat,baking ingredients,pantry,3389,0.10541626203701918,1.3221040242408377
kosher foods,international,yogurt,dairy eggs,3694,0.11490341456616962,1.321981062780545
yogurt,dairy eggs,packaged vegetables fruits,produce,410646,12.773315532739385,1.3216099681009188
oils vinegars,pantry,air fresheners candles,household,1471,0.045756070066820656,1.321370045297434
canned jarred vegetables,canned goods,bread,bakery,51251,1.5941837844966864,1.3212699456431445
spices seasonings,pantry,cleaning products,household,6087,0.18933868014734015,1.3212196819597146
honeys syrups nectars,pantry,ice cream ice,frozen,9377,0.2916755057896515,1.3211594923046597
water seltzer sparkling water,beverages,muscles joints pain relief,personal care,4488,0.13960111656008914,1.3211048131200478
cold flu allergy,personal care,coffee,beverages,1550,0.04821339809896127,1.3210443562995013
kitchen supplies,household,juice nectars,beverages,1038,0.03228742401723987,1.3210246336031
preserved dips spreads,pantry,energy sports drinks,beverages,3257,0.10131034684407539,1.320965423412869
popcorn jerky,snacks,paper goods,household,12112,0.3767488243707218,1.3208320499443298
baking supplies decor,pantry,nuts seeds dried fruit,snacks,2206,0.0686185523911668,1.320779946155819
laundry,household,baby food formula,babies,4879,0.1517633350482787,1.3206700806260416
popcorn jerky,snacks,refrigerated,beverages,25778,0.8018354685129184,1.3203757509093785
cat food care,pets,other creams cheeses,dairy eggs,3963,0.12327077204269904,1.320331137427212
refrigerated,beverages,fresh dips tapenades,deli,55546,1.7277815553580016,1.3202525488033154
candy chocolate,snacks,food storage,household,5140,0.1598818491797812,1.3202006724453303
paper goods,household,tortillas flat bread,bakery,14976,0.4658347418903509,1.3201678476496972
cat food care,pets,canned meals beans,canned goods,3189,0.09919517841134676,1.3201401424469585
baking ingredients,pantry,indian foods,international,1340,0.04168126029200522,1.319612646819553
digestion,personal care,frozen appetizers sides,frozen,1720,0.053501319180782825,1.3194023418788554
soap,personal care,frozen appetizers sides,frozen,3740,0.11633426380007429,1.319312511954362
soap,personal care,tortillas flat bread,bakery,4067,0.1265057355280487,1.319272649764297
juice nectars,beverages,specialty wines champagnes,alcohol,1168,0.03633112837392694,1.3191019269195698
fresh dips tapenades,deli,fresh vegetables,produce,184452,5.737456584612648,1.3190003271732613
deodorants,personal care,spreads,pantry,1427,0.04438743166917273,1.3189877349270405
energy sports drinks,beverages,hot dogs bacon sausage,meat,8605,0.26766212299455594,1.3187600726644555
refrigerated,beverages,candy chocolate,snacks,39389,1.225211314658055,1.3187598093064605
specialty cheeses,dairy eggs,ice cream ice,frozen,11167,0.34735420423941965,1.3187338730708427
canned jarred vegetables,canned goods,soy lactosefree,dairy eggs,52952,1.6470941007330302,1.3186313442999087
soy lactosefree,dairy eggs,packaged vegetables fruits,produce,263926,8.209528584946097,1.318492700105417
canned jarred vegetables,canned goods,nuts seeds dried fruit,snacks,25156,0.7824878984370771,1.3183990045873015
seafood counter,seafood,hot dogs bacon sausage,meat,3253,0.10118592517156194,1.3183736793519711
granola,breakfast,other creams cheeses,dairy eggs,10288,0.32001254170458937,1.3181282164881334
fresh vegetables,produce,hot dogs bacon sausage,meat,158195,4.920721620816244,1.318117561205056
packaged vegetables fruits,produce,hot cereal pancake mixes,breakfast,70239,2.184813463918026,1.3179267987795904
candy chocolate,snacks,body lotions soap,personal care,3256,0.10127924142594702,1.317885451212747
paper goods,household,hot dogs bacon sausage,meat,22348,0.6951438843326363,1.317729176745973
ice cream ice,frozen,condiments,pantry,27750,0.8631753530620484,1.3176755105536566
baking ingredients,pantry,cereal,breakfast,30062,0.9350910797748216,1.31738966087158
prepared soups salads,deli,packaged cheese,dairy eggs,19080,0.5934913778891491,1.3170820118811206
oils vinegars,pantry,cocoa drink mixes,beverages,1628,0.05063962071297351,1.3170330235620558
oral hygiene,personal care,fruit vegetable snacks,snacks,3384,0.10526073494637737,1.3168294849013416
protein meal replacements,personal care,asian foods,international,1853,0.05763833979185499,1.3167070024141911
butter,dairy eggs,juice nectars,beverages,28325,0.8810609684858566,1.3164479027441363
oils vinegars,pantry,hot dogs bacon sausage,meat,24086,0.7492051010397297,1.3164286986758824
frozen pizza,frozen,plates bowls cups flatware,household,2029,0.06311289338244672,1.3163667418872245
frozen vegan vegetarian,frozen,spices seasonings,pantry,5369,0.16700498993117616,1.3162946973506224
honeys syrups nectars,pantry,frozen meat seafood,frozen,1809,0.05626970139420705,1.3160079478429028
bakery desserts,bakery,preserved dips spreads,pantry,1376,0.04280105534462626,1.315974638643614
dish detergents,household,nuts seeds dried fruit,snacks,9341,0.29055571073703046,1.3158898316364511
frozen meals,frozen,spreads,pantry,24335,0.7569503501536918,1.3158782141159793
food storage,household,tea,beverages,4168,0.12964738275901325,1.315824699846845
soy lactosefree,dairy eggs,spices seasonings,pantry,37385,1.1628760567288172,1.315706296321961
frozen vegan vegetarian,frozen,fresh vegetables,produce,45767,1.4236016714807485,1.3156291772308435
dish detergents,household,canned jarred vegetables,canned goods,8520,0.2650181624536451,1.3155542485930787
butter,dairy eggs,laundry,household,7867,0.24470632441582468,1.3155065820122331
hair care,personal care,popcorn jerky,snacks,1518,0.047218024718853675,1.3154213367135377
packaged meat,meat,breakfast bakery,bakery,3018,0.09387615191139684,1.3153370027918363
coffee,beverages,pickled goods olives,pantry,7515,0.23375721723464124,1.315258268857864
coffee,beverages,other creams cheeses,dairy eggs,20412,0.6349237948361273,1.3152408287414699
frozen meals,frozen,yogurt,dairy eggs,82375,2.5623088183238285,1.31522416722955
asian foods,international,juice nectars,beverages,16311,0.5073604750917143,1.3149773225743606
frozen pizza,frozen,milk,dairy eggs,44506,1.384377739220884,1.3149103846267347
juice nectars,beverages,tortillas flat bread,bakery,21291,0.6622654573709575,1.3148235462944382
indian foods,international,nuts seeds dried fruit,snacks,1403,0.04364090163409204,1.3148037719011216
instant foods,dry goods pasta,baking ingredients,pantry,16704,0.5195849044161607,1.314668998455397
cream,dairy eggs,eggs,dairy eggs,53132,1.6526930759961354,1.314600597856022
packaged seafood,seafood,soup broth bouillon,canned goods,2252,0.07004940162507146,1.3143915282414818
bakery desserts,bakery,bread,bakery,7093,0.22063073078447243,1.3142256918582333
frozen breakfast,frozen,packaged vegetables fruits,produce,95364,2.966337094393124,1.3141211210919979
baby bath body care,babies,frozen produce,frozen,1287,0.04003267313120203,1.3141183724255983
pickled goods olives,pantry,body lotions soap,personal care,1487,0.04625375675687445,1.3138342989995835
cream,dairy eggs,bread,bakery,63555,1.9769048491480539,1.3137951264407084
soap,personal care,ice cream ice,frozen,7903,0.2458261194684457,1.3137234685943855
tofu meat alternatives,deli,oral hygiene,personal care,2413,0.07505737394373777,1.3135100121919947
milk,dairy eggs,meat counter,meat,22175,0.6897626469964298,1.3134607286222602
dish detergents,household,water seltzer sparkling water,beverages,22080,0.6868076322742354,1.3134102751760337
candy chocolate,snacks,paper goods,household,18422,0.5730240127606867,1.3131397311060096
oral hygiene,personal care,preserved dips spreads,pantry,2323,0.07225788631218517,1.3131312333822744
ice cream ice,frozen,dish detergents,household,12681,0.3944478072857599,1.3130804050772062
fresh dips tapenades,deli,tea,beverages,23394,0.7276801516949032,1.3130327386144618
more household,household,juice nectars,beverages,1919,0.05969129738832688,1.3128654868501954
frozen breads doughs,frozen,yogurt,dairy eggs,13552,0.4215406264755633,1.3128382819397204
poultry counter,meat,bread,bakery,26745,0.8319144078430445,1.3126571536565719
cleaning products,household,frozen appetizers sides,frozen,6005,0.18678803586081444,1.3124928832513332
cream,dairy eggs,cookies cakes,snacks,22856,0.7109454367418443,1.3124315349975992
spreads,pantry,juice nectars,beverages,29386,0.9140638171200489,1.3116190404148833
juice nectars,beverages,water seltzer sparkling water,beverages,72146,2.2441314962888126,1.3115920717176064
crackers,snacks,muscles joints pain relief,personal care,2674,0.08317588807524028,1.311424397538351
yogurt,dairy eggs,meat counter,meat,23861,0.7422063819608482,1.3113919905896627
soap,personal care,frozen pizza,frozen,3096,0.09630237452540907,1.311387710918599
juice nectars,beverages,feminine care,personal care,1956,0.06084219785907628,1.3111804819148254
baking ingredients,pantry,preserved dips spreads,pantry,10276,0.319639276687049,1.3109852140669167
soap,personal care,yogurt,dairy eggs,18937,0.5890433030967932,1.3109538332412518
oils vinegars,pantry,muscles joints pain relief,personal care,1578,0.0490843498065554,1.3106066949017887
cleaning products,household,tortillas flat bread,bakery,6519,0.20277622077879257,1.310235113776459
cookies cakes,snacks,fresh dips tapenades,deli,24353,0.7575102476800024,1.31012148810654
coffee,beverages,doughs gelatins bake mixes,pantry,6539,0.20339832914135983,1.310112682146521
frozen produce,frozen,cereal,breakfast,47947,1.4914114830005778,1.3101077597423572
trash bags liners,household,spices seasonings,pantry,2090,0.06501032388827681,1.3100388909830696
indian foods,international,juice nectars,beverages,1552,0.04827560893521799,1.3096162593495428
canned fruit applesauce,canned goods,spices seasonings,pantry,5305,0.16501424317096097,1.3095476047873535
tea,beverages,body lotions soap,personal care,2632,0.08186946051384907,1.3094009324935152
packaged meat,meat,preserved dips spreads,pantry,1389,0.043205425780294966,1.3092751606329212
spices seasonings,pantry,packaged vegetables fruits,produce,80382,2.5003157199940027,1.309128158506955
packaged poultry,meat,yogurt,dairy eggs,39552,1.2302814978129781,1.308860231438782
frozen vegan vegetarian,frozen,nuts seeds dried fruit,snacks,8268,0.2571795970852979,1.3085690573245568
coffee,beverages,frozen meals,frozen,17352,0.5397412153633393,1.3084601526802928
frozen meals,frozen,digestion,personal care,2439,0.07586611481507517,1.3084315913268711
candy chocolate,snacks,facial care,personal care,1011,0.03144757772777409,1.3081115813848356
ice cream ice,frozen,diapers wipes,babies,3170,0.09860417546690788,1.3080870075843332
butter,dairy eggs,fruit vegetable snacks,snacks,14497,0.45093524660686546,1.307904751180288
body lotions soap,personal care,dry pasta,dry goods pasta,3282,0.10208798229728443,1.3076447631110524
ice cream ice,frozen,bread,bakery,75626,2.352378351375513,1.307461755685041
red wines,alcohol,pickled goods olives,pantry,1054,0.03278511070729366,1.3074271347356503
eggs,dairy eggs,soy lactosefree,dairy eggs,97710,3.0393104053222615,1.307015393572041
refrigerated,beverages,pickled goods olives,pantry,17881,0.5561959815532428,1.3068294427555036
seafood counter,seafood,soy lactosefree,dairy eggs,6510,0.20249627201563733,1.306643002455365
fresh herbs,produce,baking supplies decor,pantry,2528,0.07863449702849941,1.3066371157255088
baking ingredients,pantry,poultry counter,meat,12462,0.3876357207156486,1.3066248768894029
oils vinegars,pantry,deodorants,personal care,1230,0.038259664297885396,1.3065382817794555
soap,personal care,chips pretzels,snacks,11987,0.37286064710467653,1.306433819824901
coffee,beverages,hot dogs bacon sausage,meat,19696,0.6126523154562201,1.306282376208853
cat food care,pets,frozen breakfast,frozen,2788,0.08672190574187356,1.3060739045260072
prepared meals,deli,seafood counter,seafood,1046,0.03253626736226676,1.306003710996559
buns rolls,bakery,spices seasonings,pantry,7102,0.2209106795476277,1.305729308757662
fresh fruits,produce,poultry counter,meat,90371,2.811027741678212,1.3056135609603003
paper goods,household,spreads,pantry,20492,0.6374122282863962,1.3056100743326233
fresh herbs,produce,cream,dairy eggs,35983,1.1192662605128536,1.3054021468196704
butter,dairy eggs,ice cream ice,frozen,34404,1.0701508052881699,1.305284813782509
paper goods,household,frozen appetizers sides,frozen,13616,0.4235313732357785,1.3052645861620538
frozen meals,frozen,trash bags liners,household,2957,0.09197872140556676,1.3052444553946683
bulk dried fruits vegetables,bulk,water seltzer sparkling water,beverages,4297,0.13365998169757196,1.3047160623364118
pasta sauce,dry goods pasta,body lotions soap,personal care,2873,0.08936586628278434,1.3045696988826887
dish detergents,household,chips pretzels,snacks,19216,0.5977217147546062,1.3045650543280811
seafood counter,seafood,other creams cheeses,dairy eggs,3313,0.10305225025926366,1.304477483106455
fresh fruits,produce,granola,breakfast,65540,2.0386491041328525,1.3044246235386798
